Rank,Country,Spending (US$ bn),% of GDP,% of global spending
1,United States,997.0,3.4,35.5
2,China,314.0,1.7,11.2
3,Russia,149.0,7.1,5.5
4,Germany,88.5,1.9,3.2
5,India,86.1,2.3,3.1
6,United Kingdom,81.8,2.3,3.0
7,Saudi Arabia,80.3,7.4,3.0
8,Ukraine,64.7,34.0,2.4
9,France,64.7,2.1,2.4
10,Japan,55.3,1.4,2.0
11,South Korea,47.6,2.6,1.8
12,Israel,46.5,8.8,1.7
13,Poland,38.0,4.2,1.4
14,Italy,38.0,1.6,1.4
15,Australia,33.8,1.9,1.2
16,Canada,29.3,1.3,1.1
17,Turkey,25.0,1.9,1.0
18,Spain,24.6,1.4,0.9
19,Netherlands,23.2,1.9,0.7
20,Algeria,21.8,8.0,0.7
21,Brazil,20.9,1.0,0.7
22,Mexico,16.7,0.9,0.6
23,Taiwan,16.5,2.1,0.5
24,Colombia,15.1,3.4,0.5
25,Singapore,15.1,2.8,0.4
26,Sweden,12.0,2.0,0.4
27,Indonesia,11.0,0.8,0.4
28,Norway,10.4,2.1,0.4
29,Pakistan,10.2,2.7,0.4
30,Denmark,10.0,2.4,0.3
31,Romania,8.7,2.3,0.3
32,Belgium,8.6,1.3,0.3
33,Greece,8.0,3.1,0.3
34,Iran,7.9,2.0,0.3
35,Kuwait,7.8,4.8,0.3
36,Finland,7.0,2.3,0.3
37,Switzerland,6.7,0.7,0.2
38,Czech Republic,6.5,1.9,0.2
39,Iraq,6.2,2.4,0.2
40,Philippines,6.1,1.3,0.2
